model,layer,relative_depth,overall,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,sanctity,degradation
Guard-Gen-4B,10,0.2857142857142857,0.08449320381074947,0.08049182626212725,0.22337935138302456,0.04805661503617209,0.1372230036056571,0.18477757402574524,0.06519392763417198,0.03924359114898335,0.031185335203830156,-0.05546729762830971,0.09084811143626348
Guard-Gen-4B,11,0.3142857142857143,0.11024012692403233,0.20631382947545995,0.2197166629396171,0.036794351989572927,0.12180647264476563,0.17147512351419592,0.1921011414625472,0.049663805059642296,0.12470512344455875,-0.09814735151559861,0.07797211022574457
Guard-Gen-4B,12,0.34285714285714286,0.11186166454163826,0.23349441101526447,0.21178330534787104,-0.006133735191537815,0.09510484787327211,0.06672441702784893,0.2343331927335789,-0.02814176775759325,0.1679443441006453,-0.002276141118314534,0.14578377138553678
Guard-Gen-4B,13,0.37142857142857144,0.08325484806605747,0.22483613804895097,0.2111587403644143,-0.0813752962037555,0.10605833091906802,0.1723056391411656,0.14320092509087157,-0.1241115421411969,0.07333647839247193,-0.06244883800554857,0.16958790505433052
Guard-Gen-4B,14,0.4,0.08501292620320418,0.18784955398779246,0.215925237863124,0.10018635412725363,0.20249091901245253,0.17654483677123478,0.10450371911397205,0.04635898380889958,0.0157897584881308,-0.35775361204578116,0.15823351090515925
Guard-Gen-4B,15,0.42857142857142855,0.09182962052661514,0.25988681425279037,0.24137380386106322,-0.11475418129309833,0.1378307709750336,0.09004419378355111,0.08514525486550573,0.08696928758075739,0.05729272291203735,-0.1117621282635759,0.18626966659232713
Guard-Gen-4B,16,0.45714285714285713,0.0990083549236285,0.24948229450526438,0.2568118359378191,-0.0077866924418252825,0.1854996746963895,0.16400705024538487,0.2296754217744007,-0.0939179606857059,0.046825702683126025,-0.21059828481560872,0.17008450733719993
Guard-Gen-4B,17,0.4857142857142857,0.09503679758588883,0.24227237610618846,0.20769579176794906,-0.03275345324761347,0.17229701948075715,0.16676497599176743,0.04841948561778853,-0.021691467265730235,0.0963167617002646,-0.09653646429943596,0.1675829500071101
Guard-Gen-4B,18,0.5142857142857142,0.07955222697373883,0.2466114071956087,0.2419673067934065,0.011790604235268454,0.06643237304117511,0.045462308851895616,0.2338517442604079,-0.15482472735915231,0.05801242436561305,0.027564681243455125,0.018654147109876784
Guard-Gen-4B,19,0.5428571428571428,0.08908375754455636,0.19076280534660106,0.211804881895287,0.07279469419306506,0.03573293536190225,0.13803065369052836,0.22447137155319286,-0.11161981032434198,0.032321692587689355,0.018846816313189074,0.07769153482867008
Guard-Gen-4B,20,0.5714285714285714,0.05020112960081331,0.2551593996747934,0.22221406675988542,0.1034767260923436,0.15084675945957593,-0.20753129838929563,0.14344342030985713,0.05973134040045236,0.02810836615881529,-0.3661990233741981,0.11276153891606466
