model,layer,category,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_r,spearman_p,n
gpt-oss-120b,34,sanctity-degradation_vice,0.3530799324868779,9.9443937616939e-56,0.3126455329639638,0.3922370389737861,0.3433681499127999,1.303630324623131e-52,1860
gpt-oss-120b,34,sanctity-degradation_virtue,0.2687190770382678,3.7013292107631178e-25,0.2200304259507046,0.3160721936866604,0.2647820959427841,1.8980170490642916e-24,1435
gpt-oss-120b,35,authority-subversion_vice,0.3723298890149892,3.4945326590603314e-63,0.3328173138356509,0.41053734149675,0.3573447520335053,5.36814555064591e-58,1889
gpt-oss-120b,35,authority-subversion_virtue,0.251491943310991,4.383782419159226e-23,0.2034837372449401,0.2982937052433391,0.2438352985337579,9.336332140612628e-22,1501
gpt-oss-120b,35,care-harm_vice,0.366283344664595,5.680798382002311e-63,0.3272133908676791,0.4041031169317496,0.3597712352671222,1.1635464449888691e-60,1950
gpt-oss-120b,35,care-harm_virtue,0.3623119565882945,9.284629498119646e-56,0.3210330316377157,0.4022168938843612,0.3583446162990582,1.6885806718968538e-54,1761
gpt-oss-120b,35,fairness-cheating_vice,0.4383292192671811,2.310197689914808e-92,0.4017561570055264,0.4735062018921697,0.4077553414890276,5.3355608425966897e-79,1950
gpt-oss-120b,35,fairness-cheating_virtue,0.2961184654588489,1.990901153805229e-34,0.2512321202908105,0.3397339265780064,0.2997446418268985,2.8413370742630706e-35,1634
gpt-oss-120b,35,loyalty-betrayal_vice,0.4350916338245814,6.996826823727203e-91,0.3983959335080279,0.4703967233769449,0.4105667916961905,3.591989397966572e-80,1950
gpt-oss-120b,35,loyalty-betrayal_virtue,0.3305732952143451,9.335179767954656e-45,0.2876136029843102,0.3722054523763124,0.3220129527183035,1.9653858454373528e-42,1705
gpt-oss-120b,35,overall,0.3394750965717785,0.0,0.3263507077373131,0.3524686214196736,0.3291885538715378,0.0,17635
gpt-oss-120b,35,sanctity-degradation_vice,0.2970888304505126,3.246948774796231e-39,0.25508148135739,0.337976826065668,0.2966951642182996,4.1254442436595945e-39,1860
gpt-oss-120b,35,sanctity-degradation_virtue,0.21259841863843,3.961617919870704e-16,0.162639371618594,0.261470167209034,0.2022140971865763,1.0462765840318892e-14,1435
gpt-oss-20b,0,authority-subversion_vice,0.3303060147875347,2.5462221831854177e-49,0.2895175903319275,0.369897004611154,0.3077840729750951,9.846363933816516e-43,1889
gpt-oss-20b,0,authority-subversion_virtue,0.1786057084610243,3.1688408060160807e-12,0.1291755591603323,0.2271504582068305,0.1628124752878517,2.22531800404332e-10,1501
gpt-oss-20b,0,care-harm_vice,0.3500651057842863,2.5827881989846124e-57,0.3104998611792025,0.3884195195986529,0.3419940841225837,1.2773646424968115e-54,1950
gpt-oss-20b,0,care-harm_virtue,0.2674527222036111,3.164510245543911e-30,0.22353317683204,0.3102884076774286,0.2668053804968701,4.401433910151943e-30,1761
gpt-oss-20b,0,fairness-cheating_vice,0.3994590920568748,1.3188143331420954e-75,0.361478612754148,0.4361160929138482,0.3689049626875269,6.436743884148838e-64,1950
gpt-oss-20b,0,fairness-cheating_virtue,0.176571075188877,6.546840244735803e-13,0.1291831917614639,0.2231543173631854,0.1730507155463668,1.880971587297489e-12,1634
gpt-oss-20b,0,loyalty-betrayal_vice,0.3733511292360133,1.5293477921016772e-65,0.3345046751544981,0.4109309590459687,0.3393415662287121,9.430008295228246e-54,1950
gpt-oss-20b,0,loyalty-betrayal_virtue,0.1852962135771424,1.234209758062906e-14,0.1390460176653994,0.2307398132168062,0.1838362848515053,2.0000083692550213e-14,1705
gpt-oss-20b,0,overall,0.2811249307998564,1.243915e-317,0.2674751898761343,0.2946618664958959,0.2668791968445991,2.7368160177177136e-285,17635
gpt-oss-20b,0,sanctity-degradation_vice,0.2202390605389677,7.236753806163295e-22,0.176554648952624,0.2630575559833579,0.2189322202242274,1.2745614827212765e-21,1860
gpt-oss-20b,0,sanctity-degradation_virtue,0.2073406310691494,2.124089192604674e-15,0.1572798274252383,0.2563385804469771,0.1988881936725334,2.878239696286927e-14,1435
gpt-oss-20b,1,authority-subversion_vice,0.3431396396629576,2.4829442943887763e-53,0.3027231630515748,0.3823242030201427,0.3180478283781263,1.1517650202769476e-45,1889
gpt-oss-20b,1,authority-subversion_virtue,0.2338422777492037,4.3227702763499177e-20,0.1854388506265552,0.2811136957156506,0.2197337005002207,7.214290348133622e-18,1501
gpt-oss-20b,1,care-harm_vice,0.3636014941402768,5.161810266000126e-62,0.3244479510403719,0.401511208421595,0.3527867625550138,3.058903348303802e-58,1950
gpt-oss-20b,1,care-harm_virtue,0.3080750220274925,4.995561152912884e-40,0.2651789626732231,0.3497539736906608,0.3122633294667823,3.9331740910087084e-41,1761
gpt-oss-20b,1,fairness-cheating_vice,0.4203494573854293,2.450791176686218e-84,0.3831077750912883,0.4562267816018901,0.3868350663550832,1.2611785064431869e-70,1950
gpt-oss-20b,1,fairness-cheating_virtue,0.2094794619992571,1.1648582429451468e-17,0.1626375834821906,0.255379224192478,0.2054555296201113,4.929397398728406e-17,1634
gpt-oss-20b,1,loyalty-betrayal_vice,0.3911870419301039,2.5602826131320383e-72,0.3529253009434493,0.4281426420111718,0.3579242320459839,5.147625256400765e-60,1950
gpt-oss-20b,1,loyalty-betrayal_virtue,0.2356195813584278,6.134844928534462e-23,0.1902745936272235,0.2799613645621305,0.2363353981610449,4.5103911376751134e-23,1705
gpt-oss-20b,1,overall,0.3056273568283506,0.0,0.2921858149203562,0.3189481756335569,0.291986055585395,0.0,17635
gpt-oss-20b,1,sanctity-degradation_vice,0.2240904232921012,1.3362604259824865e-22,0.1804768668068286,0.2668245026778144,0.2232828792883595,1.9092532063025522e-22,1860
gpt-oss-20b,1,sanctity-degradation_virtue,0.2433389879800822,8.691278981142487e-21,0.1940339967105409,0.2914176859145623,0.2374626344526918,7.630726411357442e-20,1435
gpt-oss-20b,2,authority-subversion_vice,0.3776706962638105,4.239588430900344e-65,0.3383322277644226,0.4156914665059518,0.3506132988209626,9.343528161739551e-56,1889
gpt-oss-20b,2,authority-subversion_virtue,0.2580161449038623,2.977254236869647e-24,0.2101622989704921,0.3046366308620784,0.2433463403344347,1.1309912577009926e-21,1501
gpt-oss-20b,2,care-harm_vice,0.3974317884798354,8.604492154065151e-75,0.359381786395226,0.4341625019602544,0.3851476126689747,5.6256764372793855e-70,1950
gpt-oss-20b,2,care-harm_virtue,0.3390308787994505,1.2846743963855284e-48,0.2970225762171997,0.3797293636575557,0.3406513722239394,4.276703398879794e-49,1761
gpt-oss-20b,2,fairness-cheating_vice,0.4612709359647789,2.4821963655919957e-103,0.4255951430352142,0.4955150535414649,0.4245925638164116,3.458868682563202e-86,1950
gpt-oss-20b,2,fairness-cheating_virtue,0.2281754672726321,9.642606681993884e-21,0.1816918819027455,0.273641615175386,0.2249404531546575,3.450109893449533e-20,1634
gpt-oss-20b,2,loyalty-betrayal_vice,0.4222766140531042,3.5660314688957396e-85,0.3851051461161742,0.458080167793729,0.3935343896941024,3.05315923885073e-73,1950
gpt-oss-20b,2,loyalty-betrayal_virtue,0.2830006080872874,9.141640757492739e-33,0.2387346719735761,0.3260928881520199,0.2777628776962922,1.4055855021653316e-31,1705
gpt-oss-20b,2,overall,0.3331805016416111,0.0,0.3199945359047341,0.3462374153584917,0.3196082712579111,0.0,17635
gpt-oss-20b,2,sanctity-degradation_vice,0.2276071364831823,2.779219255629698e-23,0.1840594903375798,0.2702629947125727,0.2258393281086502,6.140209691513797e-23,1860
gpt-oss-20b,2,sanctity-degradation_virtue,0.2655469669218145,1.3845328006733004e-24,0.216777497023963,0.3129942630164126,0.26541870261121,1.45984933801523e-24,1435
gpt-oss-20b,3,authority-subversion_vice,0.4312773674857386,2.0057698621219636e-86,0.3938365249400233,0.4672894597923489,0.398844383059961,4.6726913392696e-73,1889
gpt-oss-20b,3,authority-subversion_virtue,0.2928662550798315,4.519711811047507e-31,0.2459127554754115,0.3384485315093752,0.278061609179983,4.708233295097686e-28,1501
gpt-oss-20b,3,care-harm_vice,0.447130268930866,1.7981197470099936e-96,0.4108955661292925,0.4819545765385143,0.4323045265089238,1.28000465041136e-89,1950
gpt-oss-20b,3,care-harm_virtue,0.3675944688168959,1.8300858675284497e-57,0.3264884368755833,0.407312655838263,0.3720551442944401,6.2715441308250795e-59,1761
gpt-oss-20b,3,fairness-cheating_vice,0.5074455430904425,4.0630558774073865e-128,0.4737262778915763,0.5396791773714751,0.4666419191117781,5.05086249282782e-106,1950
gpt-oss-20b,3,fairness-cheating_virtue,0.2651004973588294,1.1083752030381636e-27,0.2194273770875095,0.3096141946372455,0.2667416825663744,5.119032359366864e-28,1634
gpt-oss-20b,3,loyalty-betrayal_vice,0.4608968267980799,3.8064566830787374e-103,0.4252060045850822,0.4951565088759391,0.442393416894266,3.028952568429454e-94,1950
gpt-oss-20b,3,loyalty-betrayal_virtue,0.3173428289758396,3.3852831289180003e-41,0.2739973551243557,0.3594016595232805,0.3145133012727417,1.853106495544141e-40,1705
gpt-oss-20b,3,overall,0.3740030791225368,0.0,0.361237584479487,0.3866284132142023,0.3600949283115298,0.0,17635
gpt-oss-20b,3,sanctity-degradation_vice,0.2678393638732545,6.346117401814256e-32,0.225128255492841,0.309523068969587,0.2614422270046778,1.913438349229676e-30,1860
gpt-oss-20b,3,sanctity-degradation_virtue,0.2751068423828452,2.4607200934328343e-26,0.226584225744665,0.3222672840762264,0.2775137319300947,8.694499093321985e-27,1435
gpt-oss-20b,4,authority-subversion_vice,0.4654929288502838,3.34955998317244e-102,0.4294066164944591,0.5000951768973513,0.4352396774973279,3.684198230297775e-88,1889
gpt-oss-20b,4,authority-subversion_virtue,0.3042977116952471,1.5816144267738016e-33,0.2576674321278174,0.349513858805367,0.2925403117159872,5.290735951646365e-31,1501
