model,variant,benchmark,bench_key,domain,metric,raw,score,source,n,coverage,acc_all,refusal_rate,harmless_rate,tdr,rdr,l1_rdr,l2_rdr,safe_compliance,unsafe_refusal,record_coverage,score_coverage,macro_asr,micro_asr_lower,micro_asr_upper,validity,n_tasks
Qwen3-14B,ReSo,FLAMES,flames,Alignment,Harmless score,67.3017,67.3,flames/qwen3-14b/qwen3-14b-reso-beta-2-2026-07-27-13-16_score.jsonl,,,,,0.35596570696685625,,,,,,,,,,,,,
Qwen3-14B,ReSo-shuffle,FLAMES,flames,Alignment,Harmless score,66.3858,66.39,flames/qwen3-14b/qwen3-14b-reso-beta-1-shuffle-1_score.jsonl,,,,,0.32807304544799365,,,,,,,,,,,,,
Qwen3-14B,Base,MoReBench,morebench,Alignment,Overall,64.0,64.0,morebench/qwen3-14b/morebench_qwen3-14b-0723.json,,,,,,,,,,,,,,,,,,500
Qwen3-14B,DPO,MoReBench,morebench,Alignment,Overall,64.9,64.9,morebench/qwen3-14b/morebench_dpo-qwen3-14b-2026-07-27-14-51_best.json,,,,,,,,,,,,,,,,,,500
Qwen3-14B,ReSo,MoReBench,morebench,Alignment,Overall,63.6,63.6,morebench/qwen3-14b/morebench_qwen3-14b-reso-beta-2-2026-07-27-13-16_best.json,,,,,,,,,,,,,,,,,,500
Qwen3-14B,ReSo-shuffle,MoReBench,morebench,Alignment,Overall,64.0,64.0,morebench/qwen3-14b/morebench_qwen3-14b-reso-beta-1-shuffle-1-2026-08-19-09-13_best.json,,,,,,,,,,,,,,,,,,500
Qwen3-14B,Base,HaluEval,halueval,Capability,Accuracy,0.6996,69.96,halueval_reparse.csv,30000,0.9971,0.6976,,,,,,,,,,,,,,,
Qwen3-14B,DPO,HaluEval,halueval,Capability,Accuracy,0.6955,69.55,halueval_reparse.csv,30000,0.9971,0.6935,,,,,,,,,,,,,,,
Qwen3-14B,ReSo,HaluEval,halueval,Capability,Accuracy,0.6927,69.27,halueval_reparse.csv,30000,0.9975,0.6909,,,,,,,,,,,,,,,
Qwen3-14B,ReSo-shuffle,HaluEval,halueval,Capability,Accuracy,0.6942,69.42,halueval_reparse.csv,30000,0.9965,0.6918,,,,,,,,,,,,,,,
Qwen3-14B,Base,MMLU-Pro,mmlu-pro,Capability,Accuracy,0.6726,67.26,mmlu-pro/qwen3-14b/summary/qwen3-14b-CoT-all_07-24_09-15_summary.json,24064,,,,,,,,,,,,,,,,,
Qwen3-14B,DPO,MMLU-Pro,mmlu-pro,Capability,Accuracy,0.673,67.3,mmlu-pro/qwen3-14b/summary/dpo-qwen3-14b-2026-07-27-14-51_best-CoT-all_07-28_12-47_summary.json,24064,,,,,,,,,,,,,,,,,
Qwen3-14B,ReSo,MMLU-Pro,mmlu-pro,Capability,Accuracy,0.6704,67.04,mmlu-pro/qwen3-14b/summary/qwen3-14b-reso-beta-2-2026-07-27-13-16_best-CoT-all_07-28_12-52_summary.json,24064,,,,,,,,,,,,,,,,,
Qwen3-14B,ReSo-shuffle,MMLU-Pro,mmlu-pro,Capability,Accuracy,0.669,66.9,mmlu-pro/qwen3-14b/summary/qwen3-14b-reso-beta-1-shuffle-1-2026-08-19-09-13_best-CoT-all_08-24_12-12_summary.json,24064,,,,,,,,,,,,,,,,,
Qwen3-32B,Base,HarmBench,harmbench,Safety,1 - ASR,0.19,81.0,harmbench/qwen3-32b/summary_qwen3-32b.json,300,,,0.7667,,,,,,,,,,,,,,
Qwen3-32B,DPO,HarmBench,harmbench,Safety,1 - ASR,0.2133,78.67,harmbench/qwen3-32b/summary_dpo-qwen3-32b-2026-07-27-16-36_best.json,300,,,0.77,,,,,,,,,,,,,,
Qwen3-32B,ReSo,HarmBench,harmbench,Safety,1 - ASR,0.1367,86.33,harmbench/qwen3-32b/summary_qwen3-32b-reso-beta-1-2026-07-27-19-30-1e-6_best.json,300,,,0.83,,,,,,,,,,,,,,
