model,variant,benchmark,bench_key,domain,metric,raw,score,source,n,coverage,acc_all,refusal_rate,harmless_rate,tdr,rdr,l1_rdr,l2_rdr,safe_compliance,unsafe_refusal,record_coverage,score_coverage,macro_asr,micro_asr_lower,micro_asr_upper,validity,n_tasks
GPT-OSS-20B,Base,FLAMES,flames,Alignment,Harmless score,72.2997,72.3,flames/gpt-oss-20b/gpt-oss-20b_score.jsonl,,,,,0.4088097583857027,,,,,,,,,,,,,
GPT-OSS-20B,DPO,FLAMES,flames,Alignment,Harmless score,66.4298,66.43,flames/gpt-oss-20b/dpo-gpt-oss-20b-2026-07-28-12-18_score.jsonl,,,,,0.30457870647057766,,,,,,,,,,,,,
GPT-OSS-20B,ReSo,FLAMES,flames,Alignment,Harmless score,73.9813,73.98,flames/gpt-oss-20b/gpt-oss-20b-reso-1-2026-07-28-16-07-lr-5e-6_score.jsonl,,,,,0.4379134763529187,,,,,,,,,,,,,
GPT-OSS-20B,ReSo-shuffle,FLAMES,flames,Alignment,Harmless score,75.7032,75.7,flames/gpt-oss-20b/gpt-oss-20b-reso-1-shuffle-1-2026-07-28-21-07_score.jsonl,,,,,0.4710540620025151,,,,,,,,,,,,,
GPT-OSS-20B,Base,MoReBench,morebench,Alignment,Overall,55.8,55.8,morebench/gpt-oss-20b/morebench_gpt-oss-20b.json,,,,,,,,,,,,,,,,,,500
GPT-OSS-20B,DPO,MoReBench,morebench,Alignment,Overall,60.6,60.6,morebench/gpt-oss-20b/morebench_dpo-gpt-oss-20b-2026-07-28-12-18_best.json,,,,,,,,,,,,,,,,,,500
GPT-OSS-20B,ReSo,MoReBench,morebench,Alignment,Overall,57.6,57.6,morebench/gpt-oss-20b/morebench_gpt-oss-20b-reso-1-2026-07-28-16-07-lr-5e-6_best.json,,,,,,,,,,,,,,,,,,500
GPT-OSS-20B,ReSo-shuffle,MoReBench,morebench,Alignment,Overall,56.1,56.1,morebench/gpt-oss-20b/morebench_gpt-oss-20b-reso-1-shuffle-1-2026-07-28-21-07_best.json,,,,,,,,,,,,,,,,,,500
GPT-OSS-20B,Base,HaluEval,halueval,Capability,Accuracy,0.6798,67.98,halueval_reparse.csv,30000,0.8191,0.5568,,,,,,,,,,,,,,,
GPT-OSS-20B,DPO,HaluEval,halueval,Capability,Accuracy,0.6426,64.26,halueval_reparse.csv,30000,0.9489,0.6098,,,,,,,,,,,,,,,
GPT-OSS-20B,ReSo,HaluEval,halueval,Capability,Accuracy,0.6927,69.27,halueval_reparse.csv,30000,0.7862,0.5446,,,,,,,,,,,,,,,
GPT-OSS-20B,ReSo-shuffle,HaluEval,halueval,Capability,Accuracy,0.6709,67.09,halueval_reparse.csv,30000,0.8245,0.5532,,,,,,,,,,,,,,,
GPT-OSS-20B,Base,MMLU-Pro,mmlu-pro,Capability,Accuracy,0.5391,53.91,mmlu-pro/gpt-oss-20b/summary/gpt-oss-20b-CoT-all_07-23_16-05_summary.json,24064,,,,,,,,,,,,,,,,,
GPT-OSS-20B,DPO,MMLU-Pro,mmlu-pro,Capability,Accuracy,0.5716,57.16,mmlu-pro/gpt-oss-20b/summary/dpo-gpt-oss-20b-2026-07-28-12-18_best-CoT-all_07-29_14-10_summary.json,24064,,,,,,,,,,,,,,,,,
GPT-OSS-20B,ReSo,MMLU-Pro,mmlu-pro,Capability,Accuracy,0.5351,53.51,mmlu-pro/gpt-oss-20b/summary/gpt-oss-20b-reso-1-2026-07-28-16-07-lr-5e-6_best-CoT-all_07-29_11-51_summary.json,24064,,,,,,,,,,,,,,,,,
GPT-OSS-20B,ReSo-shuffle,MMLU-Pro,mmlu-pro,Capability,Accuracy,0.5574,55.74,mmlu-pro/gpt-oss-20b/summary/gpt-oss-20b-reso-1-shuffle-1-2026-07-28-21-07_best-CoT-all_07-29_12-01_summary.json,24064,,,,,,,,,,,,,,,,,
