model,category,peak_r2
gpt-oss-120b,degradation,0.0934095314
gpt-oss-120b,fairness,0.0448278307
gpt-oss-120b,harm,0.1708890426
gpt-oss-120b,loyalty,0.1190528606
gpt-oss-120b,overall,0.1075036271
gpt-oss-120b,sanctity,0.0
gpt-oss-120b,subversion,0.0848109641
gpt-oss-20b,authority,0.0542542228
gpt-oss-20b,betrayal,0.1871857852
gpt-oss-20b,care,0.1678164109
gpt-oss-20b,cheating,0.1829344063
gpt-oss-20b,degradation,0.098329403
gpt-oss-20b,fairness,0.0807296492
gpt-oss-20b,harm,0.1781328007
gpt-oss-20b,loyalty,0.1127189109
gpt-oss-20b,overall,0.1202536645
gpt-oss-20b,sanctity,0.021384345
gpt-oss-20b,subversion,0.1190507112
gpt-oss-safeguard-120b,authority,0.0421422813
gpt-oss-safeguard-120b,betrayal,0.1842468716
gpt-oss-safeguard-120b,care,0.155624189
gpt-oss-safeguard-120b,cheating,0.1585303953
gpt-oss-safeguard-120b,degradation,0.0835545684
gpt-oss-safeguard-120b,fairness,0.0400351905
gpt-oss-safeguard-120b,harm,0.1659217849
gpt-oss-safeguard-120b,loyalty,0.1303924663
gpt-oss-safeguard-120b,overall,0.1019615152
gpt-oss-safeguard-120b,sanctity,0.0
gpt-oss-safeguard-120b,subversion,0.0592470486
gpt-oss-safeguard-20b,authority,0.0588039803
gpt-oss-safeguard-20b,betrayal,0.1814058336
gpt-oss-safeguard-20b,care,0.1629713936
gpt-oss-safeguard-20b,cheating,0.1745315249
gpt-oss-safeguard-20b,degradation,0.1105268483
gpt-oss-safeguard-20b,fairness,0.0548427544
gpt-oss-safeguard-20b,harm,0.1778247841
gpt-oss-safeguard-20b,loyalty,0.1236377732
gpt-oss-safeguard-20b,overall,0.1154819135
gpt-oss-safeguard-20b,sanctity,0.0189684256
gpt-oss-safeguard-20b,subversion,0.0913058174
