model,category,peak_spearman_r,peak_layer
Qwen3-14B,loyalty-betrayal_vice,0.4367942810652579,39
Qwen3-14B,loyalty-betrayal_virtue,0.3493230846310321,39
Qwen3-14B,sanctity-degradation_vice,0.28679314012282,39
Qwen3-14B,sanctity-degradation_virtue,0.2432893457062603,39
Qwen3-14B-Base,authority-subversion_vice,0.3700381512747383,39
Qwen3-14B-Base,authority-subversion_virtue,0.2690562547767985,5
Qwen3-14B-Base,care-harm_vice,0.373317538026221,0
Qwen3-14B-Base,care-harm_virtue,0.4250922829460584,38
Qwen3-14B-Base,fairness-cheating_vice,0.4128985607853015,3
Qwen3-14B-Base,fairness-cheating_virtue,0.3827667706500623,31
Qwen3-14B-Base,loyalty-betrayal_vice,0.4517854019157393,38
Qwen3-14B-Base,loyalty-betrayal_virtue,0.3582454771115044,38
Qwen3-14B-Base,sanctity-degradation_vice,0.3067960180633497,38
Qwen3-14B-Base,sanctity-degradation_virtue,0.2246491616059049,38
Qwen3-235B-A22B,authority-subversion_vice,0.3369739268297865,1
Qwen3-235B-A22B,authority-subversion_virtue,0.3147124339878992,92
Qwen3-235B-A22B,care-harm_vice,0.3425909762282801,1
Qwen3-235B-A22B,care-harm_virtue,0.3594891513438711,92
Qwen3-235B-A22B,fairness-cheating_vice,0.3770899626951828,0
Qwen3-235B-A22B,fairness-cheating_virtue,0.3615956815867245,91
Qwen3-235B-A22B,loyalty-betrayal_vice,0.4148732417729712,92
Qwen3-235B-A22B,loyalty-betrayal_virtue,0.3641348956811879,92
Qwen3-235B-A22B,sanctity-degradation_vice,0.3049133153318197,92
Qwen3-235B-A22B,sanctity-degradation_virtue,0.1852612834229217,92
Qwen3-235B-A22B-Instruct-2507,authority-subversion_vice,0.3762116305993442,92
Qwen3-235B-A22B-Instruct-2507,authority-subversion_virtue,0.318663300671827,92
Qwen3-235B-A22B-Instruct-2507,care-harm_vice,0.3435931421243124,92
Qwen3-235B-A22B-Instruct-2507,care-harm_virtue,0.3647888303785049,92
Qwen3-235B-A22B-Instruct-2507,fairness-cheating_vice,0.3875812177296208,0
Qwen3-235B-A22B-Instruct-2507,fairness-cheating_virtue,0.3646075893107017,91
Qwen3-235B-A22B-Instruct-2507,loyalty-betrayal_vice,0.4593547268834578,92
Qwen3-235B-A22B-Instruct-2507,loyalty-betrayal_virtue,0.3684874943826618,92
Qwen3-235B-A22B-Instruct-2507,sanctity-degradation_vice,0.3249928273908176,92
Qwen3-235B-A22B-Instruct-2507,sanctity-degradation_virtue,0.1953320681474489,92
Qwen3-32B,authority-subversion_vice,0.3582382577253802,63
